num_user_location,state,num_state
0,NY,0
1,CA,1
2,CA,1
3,IL,2
4,NY,0
5,IL,2
6,CA,1
7,TX,3
8,,-1
9,NY,0
10,NY,0
11,GA,4
12,FL,5
13,DC,6
14,MA,7
15,CA,1
16,NJ,8
17,CA,1
18,TX,3
19,,-1
20,TX,3
21,WA,9
22,NY,0
23,MI,10
24,TX,3
25,OH,11
26,TN,12
27,MA,7
28,CA,1
29,PA,13
30,NC,14
31,FL,5
32,FL,5
33,CA,1
34,GA,4
35,NC,14
36,NV,15
37,WA,9
38,PA,13
39,OR,16
40,PA,13
41,IN,17
42,FL,5
43,NV,15
44,MN,18
45,CO,19
46,GA,4
47,MN,18
48,MD,20
49,TX,3
50,TX,3
51,TX,3
52,NC,14
53,AZ,21
54,NY,0
55,AZ,21
56,TX,3
57,VA,22
58,DC,6
59,TX,3
60,CO,19
61,IN,17
62,CA,1
63,MD,20
64,PA,13
65,CA,1
66,WI,23
67,NJ,8
68,TN,12
69,FL,5
70,AL,24
71,NY,0
72,PA,13
73,SC,25
74,WI,23
75,NY,0
76,OH,11
77,IL,2
78,OH,11
79,NY,0
80,IL,2
81,KY,26
82,KY,26
83,CA,1
84,MA,7
85,NY,0
86,TX,3
87,CT,27
88,LA,28
89,IA,29
90,TN,12
91,MI,10
92,MN,18
93,OK,30
94,CA,1
95,MI,10
96,OR,16
97,IN,17
98,MO,31
99,MO,31
100,OH,11
101,MO,31
102,VA,22
103,GA,4
104,CA,1
105,LA,28
106,SC,25
107,NY,0
108,CA,1
109,OR,16
110,NC,14
111,IL,2
112,LA,28
113,TX,3
114,DC,6
115,TX,3
116,AR,32
117,CA,1
118,KS,33
119,FL,5
120,MO,31
121,TN,12
122,WI,23
123,OH,11
124,CA,1
125,UT,34
126,MD,20
127,FL,5
128,OH,11
129,NY,0
130,CA,1
131,CO,19
132,MO,31
133,PA,13
134,SC,25
135,AL,24
136,CT,27
137,TN,12
138,OH,11
139,OH,11
140,FL,5
141,CA,1
142,NY,0
143,NJ,8
144,NE,35
145,CA,1
146,AZ,21
147,GA,4
148,PA,13
149,FL,5
150,GA,4
