"metro_area_name","year","week","iclaimnsa"
"Abilene",2019,1,59
"Abilene",2019,2,48
"Abilene",2019,3,61
"Abilene",2019,4,54
"Abilene",2019,5,37
"Abilene",2019,6,44
"Abilene",2019,7,52
"Abilene",2019,8,45
"Abilene",2019,9,47
"Abilene",2019,10,56
"Abilene",2019,11,83
"Abilene",2019,12,33
"Abilene",2019,13,53
"Abilene",2019,14,48
"Abilene",2019,15,54
"Abilene",2019,16,46
"Abilene",2019,17,49
"Abilene",2019,18,53
"Abilene",2019,19,61
"Abilene",2019,20,81
"Abilene",2019,21,87
"Abilene",2019,22,70
"Abilene",2019,23,51
"Abilene",2019,24,45
"Abilene",2019,25,46
"Abilene",2019,26,65
"Abilene",2019,27,40
"Abilene",2019,28,62
"Abilene",2019,29,46
"Abilene",2019,30,48
"Abilene",2019,31,85
"Abilene",2019,32,44
"Abilene",2019,33,47
"Abilene",2019,34,52
"Abilene",2019,35,50
"Abilene",2019,36,45
"Abilene",2019,37,48
"Abilene",2019,38,47
"Abilene",2019,39,53
"Abilene",2019,40,60
"Abilene",2019,41,41
"Abilene",2019,42,73
"Abilene",2019,43,54
"Abilene",2019,44,50
"Abilene",2019,45,51
"Abilene",2019,46,58
"Abilene",2019,47,67
"Abilene",2019,48,44
"Abilene",2019,49,63
"Abilene",2019,50,73
"Abilene",2019,51,225
"Abilene",2019,52,25
"Abilene",2020,1,42
"Abilene",2020,2,60
"Abilene",2020,3,51
"Abilene",2020,4,40
"Abilene",2020,5,54
"Abilene",2020,6,46
"Abilene",2020,7,52
"Abilene",2020,8,51
"Abilene",2020,9,38
"Abilene",2020,10,69
"Abilene",2020,11,71
"Abilene",2020,12,551
"Abilene",2020,13,1038
"Abilene",2020,14,1181
"Abilene",2020,15,814
"Abilene",2020,16,698
"Abilene",2020,17,628
"Abilene",2020,18,636
"Abilene",2020,19,464
"Abilene",2020,20,435
"Abilene",2020,21,423
"Abilene",2020,22,446
"Abilene",2020,23,317
"Abilene",2020,24,295
"Abilene",2020,25,306
"Abilene",2020,26,315
"Abilene",2020,27,494
"Abilene",2020,28,423
"Abilene",2020,29,320
"Abilene",2020,30,290
"Abilene",2020,31,206
"Abilene",2020,32,199
"Abilene",2020,33,221
"Abilene",2020,34,197
"Abilene",2020,35,240
"Abilene",2020,36,296
"Abilene",2020,37,203
"Abilene",2020,38,186
"Abilene",2020,39,179
"Abilene",2020,40,203
"Abilene",2020,41,171
"Abilene",2020,42,163
"Abilene",2020,43,142
"Abilene",2020,44,138
"Abilene",2020,45,144
"Abilene",2020,46,151
"Abilene",2020,47,177
"Abilene",2020,48,156
"Abilene",2020,49,200
"Abilene",2020,50,180
"Abilene",2020,51,374
"Abilene",2020,52,139
"Abilene",2021,1,177
"Abilene",2021,2,208
"Abilene",2021,3,203
"Abilene",2021,4,198
