"tm","ui_female","ui_male","ui_age_lt20","ui_age_2030","ui_age_3040","ui_age_gt40","state"
Feb 2015,4721,9216,459.5,2396,3473,7615.5,"AK"
Mar 2015,4205,8237,416.5,2162.5,3130,6740,"AK"
Apr 2015,4020,7676,390.5,2054,2952,6307.5,"AK"
May 2015,3705,6719,349.5,1852.5,2634.5,5595.5,"AK"
Jun 2015,3919,6011,343,1760,2471,5365,"AK"
Jul 2015,3557,4204,261.5,1358,1922.5,4224,"AK"
Aug 2015,3342,3415,233,1185.5,1669.5,3675,"AK"
Sep 2015,3455,3625,265.5,1265.5,1795.5,3763.5,"AK"
Oct 2015,2873,3583,243.5,1186.5,1652,3385,"AK"
Nov 2015,3318,5214,299,1486,2133.5,4629.5,"AK"
Dec 2015,3669,6884,386.5,1839,2633.5,5725,"AK"
Jan 2016,3954,8030,454.5,2114.5,3001.5,6455.5,"AK"
Apr 2016,3965,8535,435.5,2220.5,3165.5,6520.5,"AK"
May 2016,3905,8217,420,2163.5,3092.5,6302,"AK"
Jun 2016,3549,6139,335,1723,2437.5,5103.5,"AK"
Jul 2016,3577,5021,246,1441,2168,4723,"AK"
Aug 2016,3661,4404,231,1353,2019.5,4442.5,"AK"
Sep 2016,3432,4078,202,1257,1881,4128,"AK"
Oct 2016,3030,4113,201,1202.5,1800.5,3896,"AK"
Nov 2016,3485,5404,271,1521,2269,4770,"AK"
Dec 2016,3757,6710,324,1787.5,2656,5581.5,"AK"
Jan 2017,4298,8411,423,2235,3238,6671,"AK"
Feb 2017,4328,8940,446,2338,3355.5,6937.5,"AK"
Mar 2017,4004,8581,434,2242.5,3222.5,6485,"AK"
Apr 2017,3819,8005,398.5,2059.5,2982,6222,"AK"
May 2017,3758,7450,373.5,1905,2816.5,5950,"AK"
Jun 2017,3287,5223,273,1419.5,2140,4541.5,"AK"
Jul 2017,3276,4063,219.5,1216,1862.5,3932,"AK"
Aug 2017,3361,3536,209.5,1170,1756.5,3655,"AK"
Sep 2017,3056,3114,186,1066,1593.5,3222.5,"AK"
Oct 2017,2918,3352,207.5,1124.5,1621.5,3212.5,"AK"
Nov 2017,2973,3984,232.5,1212.5,1746,3651,"AK"
Dec 2017,3700,6019,314.5,1659,2409,5158.5,"AK"
Jan 2018,4335,7732,395,2098,3027,6304,"AK"
Feb 2018,4478,8242,429.5,2210,3171.5,6615,"AK"
Mar 2018,4108,7744,411.5,2124,3017,5995.5,"AK"
Apr 2018,4109,7467,393,2016,2887,5967,"AK"
May 2018,3579,6216,349,1673.5,2404,5125.5,"AK"
Jun 2018,3117,4466,262.5,1298.5,1877.5,3939.5,"AK"
Jul 2018,3260,3523,231,1145.5,1660.5,3558,"AK"
Aug 2018,3002,2653,184.5,956.5,1392,2978,"AK"
Sep 2018,2800,2415,126.5,802.5,1294,2965,"AK"
Oct 2018,2553,2572,130,823.5,1311.5,2834,"AK"
Nov 2018,2486,2961,115,856.5,1391,3058.5,"AK"
Dec 2018,2921,4236,172.5,1122,1827,3985.5,"AK"
Jan 2019,3404,5473,222,1380,2269.5,4930.5,"AK"
Feb 2019,3538,6031,210.5,1425.5,2424,5487,"AK"
Mar 2019,3211,5841,221.5,1395,2309,5101.5,"AK"
Apr 2019,3232,5841,217,1373,2311,5146,"AK"
