"state","date","week","iclaimnsa","year","iso2"
"AK",1986-02-15,7,2048,1986,"US"
"AK",1986-02-22,8,1635,1986,"US"
"AK",1986-03-01,9,1818,1986,"US"
"AK",1986-03-08,10,2257,1986,"US"
"AK",1986-03-15,11,2005,1986,"US"
"AK",1986-03-22,12,1737,1986,"US"
"AK",1986-03-29,13,1585,1986,"US"
"AK",1986-04-05,14,2285,1986,"US"
"AK",1986-04-12,15,2230,1986,"US"
"AK",1986-04-19,16,1952,1986,"US"
"AK",1986-04-26,17,1971,1986,"US"
"AK",1986-05-03,18,1746,1986,"US"
"AK",1986-05-10,19,1846,1986,"US"
"AK",1986-05-17,20,1822,1986,"US"
"AK",1986-05-24,21,1735,1986,"US"
"AK",1986-05-31,22,1159,1986,"US"
"AK",1986-06-07,23,2095,1986,"US"
"AK",1986-06-14,24,1857,1986,"US"
"AK",1986-06-21,25,1630,1986,"US"
"AK",1986-06-28,26,2088,1986,"US"
"AK",1986-07-05,27,1639,1986,"US"
"AK",1986-07-12,28,2191,1986,"US"
"AK",1986-07-19,29,2191,1986,"US"
"AK",1986-07-26,30,1464,1986,"US"
"AK",1986-08-02,31,1524,1986,"US"
"AK",1986-08-09,32,1443,1986,"US"
"AK",1986-08-16,33,1375,1986,"US"
"AK",1986-08-23,34,1488,1986,"US"
"AK",1986-08-30,35,1681,1986,"US"
"AK",1986-09-06,36,1291,1986,"US"
"AK",1986-09-13,37,1771,1986,"US"
"AK",1986-09-20,38,1745,1986,"US"
"AK",1986-09-27,39,1667,1986,"US"
"AK",1986-10-04,40,1989,1986,"US"
"AK",1986-10-11,41,1976,1986,"US"
"AK",1986-10-18,42,1702,1986,"US"
"AK",1986-10-25,43,2084,1986,"US"
"AK",1986-11-01,44,2000,1986,"US"
"AK",1986-11-08,45,2187,1986,"US"
"AK",1986-11-15,46,1837,1986,"US"
"AK",1986-11-22,47,1999,1986,"US"
"AK",1986-11-29,48,1639,1986,"US"
"AK",1986-12-06,49,2011,1986,"US"
"AK",1986-12-13,50,1773,1986,"US"
"AK",1986-12-20,51,1811,1986,"US"
"AK",1986-12-27,52,1550,1986,"US"
"AK",1987-01-03,1,1748,1987,"US"
"AK",1987-01-10,2,2749,1987,"US"
"AK",1987-01-17,3,2189,1987,"US"
"AK",1987-01-24,4,1659,1987,"US"
"AK",1987-01-31,5,2052,1987,"US"
"AK",1987-02-07,6,2244,1987,"US"
"AK",1987-02-14,7,1767,1987,"US"
"AK",1987-02-21,8,1684,1987,"US"
"AK",1987-02-28,9,1827,1987,"US"
"AK",1987-03-07,10,1650,1987,"US"
"AK",1987-03-14,11,1605,1987,"US"
"AK",1987-03-21,12,1579,1987,"US"
"AK",1987-03-28,13,1312,1987,"US"
"AK",1987-04-04,14,1857,1987,"US"
"AK",1987-04-11,15,1848,1987,"US"
"AK",1987-04-18,16,1826,1987,"US"
"AK",1987-04-25,17,1433,1987,"US"
"AK",1987-05-02,18,1432,1987,"US"
"AK",1987-05-09,19,1301,1987,"US"
"AK",1987-05-16,20,1666,1987,"US"
"AK",1987-05-23,21,1416,1987,"US"
"AK",1987-05-30,22,1280,1987,"US"
"AK",1987-06-06,23,1943,1987,"US"
"AK",1987-06-13,24,1737,1987,"US"
"AK",1987-06-20,25,1455,1987,"US"
"AK",1987-06-27,26,1283,1987,"US"
"AK",1987-07-04,27,1272,1987,"US"
"AK",1987-07-11,28,1591,1987,"US"
"AK",1987-07-18,29,1282,1987,"US"
"AK",1987-07-25,30,1046,1987,"US"
"AK",1987-08-01,31,1132,1987,"US"
"AK",1987-08-08,32,1137,1987,"US"
"AK",1987-08-15,33,1087,1987,"US"
"AK",1987-08-22,34,1022,1987,"US"
"AK",1987-08-29,35,1099,1987,"US"
"AK",1987-09-05,36,1149,1987,"US"
"AK",1987-09-12,37,1028,1987,"US"
"AK",1987-09-19,38,1345,1987,"US"
"AK",1987-09-26,39,1362,1987,"US"
"AK",1987-10-03,40,1599,1987,"US"
"AK",1987-10-10,41,1759,1987,"US"
"AK",1987-10-17,42,1706,1987,"US"
"AK",1987-10-24,43,1490,1987,"US"
"AK",1987-10-31,44,1731,1987,"US"
"AK",1987-11-14,46,1407,1987,"US"
"AK",1987-11-21,47,1802,1987,"US"
"AK",1987-11-28,48,1272,1987,"US"
"AK",1987-12-05,49,1597,1987,"US"
"AK",1987-12-12,50,1550,1987,"US"
"AK",1987-12-19,51,1489,1987,"US"
"AK",1987-12-26,52,1406,1987,"US"
"AK",1988-01-02,1,1317,1988,"US"
"AK",1988-01-09,2,2676,1988,"US"
"AK",1988-01-16,3,2286,1988,"US"
"AK",1988-01-23,4,1732,1988,"US"
"AK",1988-01-30,5,1599,1988,"US"
"AK",1988-02-06,6,1781,1988,"US"
"AK",1988-02-13,7,1825,1988,"US"
"AK",1988-02-20,8,1499,1988,"US"
"AK",1988-02-27,9,1653,1988,"US"
"AK",1988-03-05,10,1491,1988,"US"
"AK",1988-03-12,11,1310,1988,"US"
"AK",1988-03-19,12,1172,1988,"US"
"AK",1988-03-26,13,1184,1988,"US"
"AK",1988-04-02,14,1294,1988,"US"
"AK",1988-04-09,15,1822,1988,"US"
"AK",1988-04-16,16,1690,1988,"US"
"AK",1988-04-23,17,1450,1988,"US"
"AK",1988-04-30,18,1286,1988,"US"
"AK",1988-05-07,19,1347,1988,"US"
"AK",1988-05-14,20,1298,1988,"US"
"AK",1988-05-21,21,1218,1988,"US"
"AK",1988-05-28,22,1170,1988,"US"
"AK",1988-06-04,23,1226,1988,"US"
"AK",1988-06-11,24,1437,1988,"US"
"AK",1988-06-18,25,1163,1988,"US"
"AK",1988-06-25,26,985,1988,"US"
"AK",1988-07-02,27,1181,1988,"US"
"AK",1988-07-09,28,970,1988,"US"
"AK",1988-07-16,29,1116,1988,"US"
"AK",1988-07-23,30,909,1988,"US"
"AK",1988-07-30,31,1093,1988,"US"
"AK",1988-08-06,32,1103,1988,"US"
"AK",1988-08-13,33,1001,1988,"US"
"AK",1988-08-20,34,895,1988,"US"
"AK",1988-08-27,35,888,1988,"US"
"AK",1988-09-03,36,1076,1988,"US"
"AK",1988-09-10,37,787,1988,"US"
