Series ID,LNS13000000,LNS13100000,LNS13200000,LNS13000086,LNS13000012,LNS13100012,LNS13200012,LNS13024887,LNS13000088,LNS13000024,LNS13000036,LNS13000048,LNS13000089,LNS13000060,LNS13000091,LNS13000093,LNS13024230,LNS13000001,LNU03000001,LNS13100001,LNU03100001,LNS13200001,LNU03200001,LNS13000002,LNU03000002,LNS13100002,LNU03100002,LNS13200002,LNU03200002
1/1/2013,12471,10574,1847,585,1403,691,710,3636,815,11068,2232,8737,2603,6808,2124,2081,1978,6807,7426,5880,6518,855,908,5664,5755,4685,4701,1003,1054
2/1/2013,11950,10123,1832,617,1470,707,773,3481,863,10480,2011,8460,2600,6545,2013,1932,1895,6409,7020,5620,6146,786,874,5541,5479,4493,4448,1030,1031
3/1/2013,11689,9933,1733,575,1368,683,668,3393,799,10320,2025,8327,2506,6443,1977,1960,1813,6226,6611,5500,5877,730,734,5462,5203,4438,4224,1010,979
4/1/2013,11760,10008,1778,556,1403,731,673,3502,831,10357,2098,8252,2528,6463,1908,2028,1807,6484,6172,5730,5435,775,736,5276,4843,4252,3927,1003,916
5/1/2013,11654,9899,1712,563,1427,716,664,3480,848,10226,2052,8172,2408,6431,1972,2052,1763,6502,6316,5724,5553,805,763,5151,4986,4205,4107,923,879
6/1/2013,11751,10003,1767,506,1341,698,644,3456,840,10409,2115,8360,2578,6531,1934,2019,1791,6415,6560,5710,5790,731,770,5336,5688,4305,4572,1032,1116
7/1/2013,11335,9539,1812,589,1367,686,687,3293,759,9968,1926,8043,2519,6377,1917,1940,1649,6348,6396,5531,5574,837,822,4987,5688,4020,4563,991,1125
8/1/2013,11279,9595,1644,489,1296,705,578,3347,820,9983,2051,7910,2591,6272,1843,1839,1674,6381,6148,5666,5491,663,657,4898,5314,3912,4240,987,1074
9/1/2013,11270,9594,1692,510,1243,634,606,3252,749,10026,2009,8003,2504,6237,1819,1914,1745,6389,6009,5637,5296,744,714,4881,4875,3957,3941,951,934
10/1/2013,11136,9537,1608,467,1265,689,562,3157,791,9870,1892,8011,2380,6213,1846,1987,1849,6194,5858,5578,5232,654,626,4941,4915,3984,3988,928,927
11/1/2013,10787,9191,1614,500,1185,639,569,2991,717,9602,1806,7857,2484,6217,1857,1876,1622,5946,5671,5292,4967,690,705,4840,4600,3901,3737,930,863
12/1/2013,10404,8700,1728,477,1148,595,585,2841,671,9256,1692,7531,2353,5812,1739,1721,1695,5588,5583,4859,4872,733,710,4816,4402,3840,3521,990,881
1/1/2014,10202,8688,1511,436,1129,618,521,2990,690,9073,1862,7119,2309,5661,1633,1720,1515,5605,6153,4926,5497,621,656,4597,4702,3738,3757,896,945
2/1/2014,10349,8778,1608,408,1162,666,530,3029,756,9187,1868,7323,2419,5792,1638,1735,1512,5683,6267,5012,5501,682,766,4666,4626,3740,3704,923,923
3/1/2014,10380,8789,1601,405,1174,586,575,3140,764,9206,1966,7305,2339,5710,1682,1688,1560,5528,5868,4787,5127,733,741,4852,4669,4007,3835,870,834
