"variable","h","value","SE0"
"Conversational BERT",-9,43.3065871273941,1.39396008701044
"Conversational BERT",-8,41.5971516158583,1.39396008701044
"Conversational BERT",-7,39.4614120094992,1.38098980005397
"Conversational BERT",-6,36.458250717027,1.38098932007913
"Conversational BERT",-5,33.8641518657214,1.37198764338455
"Conversational BERT",-4,31.5531820290999,1.37198738750935
"Conversational BERT",-3,28.6443769282541,1.36145192435341
"Conversational BERT",-2,22.2839805028537,1.35008051128977
"Conversational BERT",-1,19.597953914275,1.35007968892939
"Conversational BERT",0,17.4538354361208,1.35007531093359
"Conversational BERT",1,15.3459056315033,1.35007152878086
"Conversational BERT",2,13.7064533153672,1.35007152872639
"Conversational BERT",3,12.4262222974268,1.35006945877319
"Conversational BERT",4,11.0791492189242,1.35006945873864
"Conversational BERT",5,10.3930124496594,1.35006750477762
"Rule-Based",-9,55.2856764768158,1.49319651369493
"Rule-Based",-8,54.2850592080786,1.49319651369493
"Rule-Based",-7,53.2588861227058,1.47222067539077
"Rule-Based",-6,51.514466682527,1.47221925248741
"Rule-Based",-5,49.858737491111,1.45661980786029
"Rule-Based",-4,48.1735223884832,1.45661771667281
"Rule-Based",-3,46.1375392425786,1.44967199526388
"Rule-Based",-2,34.7247859690498,1.35227586705534
"Rule-Based",-1,31.7286033843414,1.35156251698183
"Rule-Based",0,29.8928607482128,1.35146472535637
"Rule-Based",1,27.8356387468277,1.35137294650295
"Rule-Based",2,26.1587333172949,1.35137294252938
"Rule-Based",3,24.9458922878481,1.35100298644477
"Rule-Based",4,23.7622091518229,1.35100298442287
"Rule-Based",5,23.2467613111722,1.35086391911915
"Consensus",-9,66.6010044361672,1.28028152081103
"Consensus",-8,66.6010044361672,1.28028152081103
"Consensus",-7,66.6010044361672,1.28028152081103
"Consensus",-6,66.6010044361672,1.28028152081103
"Consensus",-5,66.6010044361672,1.28028152081103
"Consensus",-4,66.6010044361672,1.28028152081103
"Consensus",-3,66.6010044361672,1.28028152081103
"Consensus",-2,46.416415235302,1.27153917836074
"Consensus",-1,43.5961165405142,1.27150630992049
"Consensus",0,43.5961165405142,1.27150630992049
"Consensus",1,43.5961165405142,1.27150630992049
"Consensus",2,43.5961165405142,1.27150630992049
"Consensus",3,43.5961165405142,1.27150630992049
"Consensus",4,43.5961165405142,1.27150630992049
"Consensus",5,43.5961165405142,1.27150630992049
