"State","variable2","rel_to_AR","SE","nState"
"AK","Autoregressive",94.5638565537254,1.92774434346167,"AK"
"AK","JoblessBERT",46.5882144120293,1.49144134661174,"AK"
"AK","Rule-Based",60.0757985433803,1.51452363857289,"AK"
"AL","Autoregressive",77.5569719324468,1.59632145315381,"AL"
"AL","JoblessBERT",52.3068323448977,1.5153444987482,"AL"
"AL","Rule-Based",60.6667072480128,1.51714594176088,"AL"
"AR","Autoregressive",82.8176906595343,1.34206345981294,"AR"
"AR","JoblessBERT",51.5317026817424,1.21403453092412,"AR"
"AR","Rule-Based",67.0888205653199,1.22171184783463,"AR"
"AZ","Autoregressive",90.3587268275634,1.55358189793061,"AZ"
"AZ","JoblessBERT",46.8826426993792,1.32457463974368,"AZ"
"AZ","Rule-Based",67.0521123475001,1.33697372200052,"AZ"
"CA","Autoregressive",75.6016605624216,1.66872871601626,"CA"
"CA","JoblessBERT",35.0486246936881,1.5128679728744,"CA"
"CA","Rule-Based",51.217828005726,1.53006703267125,"CA"
"CO","Autoregressive",89.4441595711025,1.76469414416304,"CO"
"CO","JoblessBERT",42.0827259301851,1.53734893210888,"CO"
"CO","Rule-Based",58.7328736442771,1.54499719282999,"CO"
"CT","Autoregressive",94.8534397469784,1.6633978856111,"CT"
"CT","JoblessBERT",55.6520952189823,1.33961420537538,"CT"
"CT","Rule-Based",68.280422388695,1.34777793485239,"CT"
"DC","Autoregressive",95.3607127120302,1.63729650565056,"DC"
"DC","JoblessBERT",66.4785455956383,1.30960175380483,"DC"
"DC","Rule-Based",77.6777009399356,1.36823623137297,"DC"
"DE","Autoregressive",92.3698040533613,1.8324508639569,"DE"
"DE","JoblessBERT",65.8424232887085,1.52242660712285,"DE"
"DE","Rule-Based",72.0466457759229,1.5204109772926,"DE"
"FL","Autoregressive",88.2639639556886,1.74993505476164,"FL"
"FL","JoblessBERT",51.8665969551184,1.51203475622312,"FL"
"FL","Rule-Based",62.67235260991,1.51345614736038,"FL"
"GA","Autoregressive",73.3251274443446,1.36340339077821,"GA"
"GA","JoblessBERT",52.9331815957401,1.33413310568528,"GA"
"GA","Rule-Based",61.8633777092798,1.33944817681326,"GA"
"HI","Autoregressive",87.9670464938274,1.7171978515494,"HI"
"HI","JoblessBERT",53.5495422034344,1.51498482060622,"HI"
"HI","Rule-Based",65.0197213393022,1.52651023700225,"HI"
"IA","Autoregressive",93.0449390699436,2.02766644132436,"IA"
"IA","JoblessBERT",51.161855938178,1.56674930681518,"IA"
"IA","Rule-Based",66.7576664635426,1.57963718522533,"IA"
"ID","Autoregressive",91.545475698334,2.16744659902677,"ID"
"ID","JoblessBERT",43.0593361243589,1.77114259600719,"ID"
"ID","Rule-Based",60.7812748890845,1.78372895373508,"ID"
"IL","Autoregressive",95.3138786260072,1.67587776895435,"IL"
"IL","JoblessBERT",49.5831180765261,1.29660008937051,"IL"
"IL","Rule-Based",67.9408180068272,1.31060454535839,"IL"
"IN","Autoregressive",92.398858033255,2.31042701158277,"IN"
"IN","JoblessBERT",47.1131594977285,1.8513567590594,"IN"
"IN","Rule-Based",64.3043197833461,1.8581810248139,"IN"
"KS","Autoregressive",100.122548756779,1.6752384293666,"KS"
"KS","JoblessBERT",60.5272589748602,1.24201332180154,"KS"
"KS","Rule-Based",78.5173017360068,1.29625594146504,"KS"
"KY","Autoregressive",85.8949080699093,1.80901633835765,"KY"
"KY","JoblessBERT",61.3410576876053,1.5971861541227,"KY"
