"h","variable","v","SE0","templag","templead","templag2","templead2","ub","lb"
-9,"Autoregressive",96.7375170025419,0.930233756120947,NA,96.7375170025419,NA,96.7375170025419,99.1003107430892,94.3747232619947
-8,"Autoregressive",96.7375170025419,0.930233756120947,NA,96.7375170025419,NA,96.7375170025419,99.1003107430892,94.3747232619947
-7,"Autoregressive",96.7375170025419,0.930233756120947,NA,96.7375170025419,NA,96.7375170025419,99.1003107430892,94.3747232619947
-6,"Autoregressive",96.7375170025419,0.930233756120947,96.7375170025419,96.7375170025419,NA,90.9772787701967,99.1003107430892,94.3747232619947
-5,"Autoregressive",96.7375170025419,0.930233756120947,96.7375170025419,90.9772787701967,96.7375170025419,90.9772787701967,99.1003107430892,94.3747232619947
-4,"Autoregressive",96.7375170025419,0.930233756120947,96.7375170025419,90.9772787701967,96.7375170025419,90.9772787701967,99.1003107430892,94.3747232619947
-3,"Autoregressive",96.7375170025419,0.930233756120947,96.7375170025419,90.9772787701967,96.7375170025419,90.9772787701967,99.1003107430892,94.3747232619947
-2,"Autoregressive",90.9772787701967,0.867898925016147,96.7375170025419,90.9772787701967,96.7375170025419,90.9772787701967,93.1817420397377,88.7728155006557
-1,"Autoregressive",90.9772787701967,0.867898925016147,96.7375170025419,90.9772787701967,96.7375170025419,90.9772787701967,93.1817420397377,88.7728155006557
0,"Autoregressive",90.9772787701967,0.867898925016147,96.7375170025419,90.9772787701967,96.7375170025419,90.9772787701967,93.1817420397377,88.7728155006557
1,"Autoregressive",90.9772787701967,0.867898925016147,90.9772787701967,90.9772787701967,96.7375170025419,90.9772787701967,93.1817420397377,88.7728155006557
2,"Autoregressive",90.9772787701967,0.867898925016147,90.9772787701967,90.9772787701967,90.9772787701967,90.9772787701967,93.1817420397377,88.7728155006557
3,"Autoregressive",90.9772787701967,0.867898925016147,90.9772787701967,90.9772787701967,90.9772787701967,NA,93.1817420397377,88.7728155006557
4,"Autoregressive",90.9772787701967,0.867898925016147,90.9772787701967,NA,90.9772787701967,NA,93.1817420397377,88.7728155006557
4.35416666666667,"Autoregressive",90.9772787701967,0.867898925016147,90.9772787701967,NA,90.9772787701967,NA,93.1817420397377,88.7728155006557
-9,"JoblessBERT",78.6315077222973,0.770209322357326,NA,74.0187154654415,NA,71.2799319329158,80.5878394010849,76.6751760435097
-8,"JoblessBERT",76.7388982424751,0.770209322357326,NA,71.2799319329158,NA,67.5979746510956,78.6952299212627,74.7825665636875
-7,"JoblessBERT",74.8462887626528,0.756874386423542,NA,67.5979746510956,NA,63.7297895347292,76.7687497041686,72.923827821137
-6,"JoblessBERT",72.1266709074893,0.756874386423542,78.6315077222973,63.7297895347292,NA,59.4902251172787,74.0491318490051,70.2042099659735
-5,"JoblessBERT",69.8992408016538,0.745782058668971,77.5659066178162,59.4902251172787,78.6315077222973,55.6282990594383,71.793527230673,68.0049543726346
-4,"JoblessBERT",67.6718106958183,0.745782058668971,75.9133582336112,55.6282990594383,77.5659066178162,51.9023464522712,69.5660971248375,65.7775242667991
-3,"JoblessBERT",65.137029894929,0.735413762107715,74.0187154654415,51.9023464522712,75.9133582336112,49.1067035458681,67.0049808506826,63.2690789391754
-2,"JoblessBERT",58.0388741212391,0.70785025160876,71.2799319329158,49.1067035458681,74.0187154654415,47.0774879834854,59.8368137603254,56.2409344821529
-1,"JoblessBERT",55.8774834595541,0.708038008345056,67.5979746510956,47.0774879834854,71.2799319329158,45.516142406607,57.6759000007506,54.0790669183577
0,"JoblessBERT",53.7160927978691,0.706756142971472,63.7297895347292,45.516142406607,67.5979746510956,44.2995843506924,55.5112534010167,51.9209321947216
