"h","variable","value","SE0","ub","lb"
4.35416666666667,"Autoregressive",96.0565199210999,0.839681175021893,98.1893101056555,93.9237297365443
4,"Autoregressive",96.0565199210999,0.839681175021893,98.1893101056555,93.9237297365443
2,"Autoregressive",96.0565199210999,0.839681175021893,98.1893101056555,93.9237297365443
0,"Autoregressive",96.0565199210999,0.839681175021893,98.1893101056555,93.9237297365443
-1,"Autoregressive",96.0565199210999,0.839681175021893,98.1893101056555,93.9237297365443
-2,"Autoregressive",96.0565199210999,0.839681175021893,98.1893101056555,93.9237297365443
-3,"Autoregressive",99.266554457062,0.868610691723883,101.472825614041,97.0602833000833
-4,"Autoregressive",99.266554457062,0.868610691723883,101.472825614041,97.0602833000833
-6,"Autoregressive",99.266554457062,0.868610691723883,101.472825614041,97.0602833000833
-8,"Autoregressive",99.266554457062,0.868610691723883,101.472825614041,97.0602833000833
-9,"Autoregressive",99.266554457062,0.868610691723883,101.472825614041,97.0602833000833
4.35416666666667,"JoblessBERT",72.2036640397375,0.666646569727183,73.8969463268446,70.5103817526305
4,"JoblessBERT",72.5721307950381,0.667676748038062,74.2680297350548,70.8762318550214
2,"JoblessBERT",73.2538923791039,0.669582439645235,74.9546317758028,71.553152982405
0,"JoblessBERT",73.7439968724741,0.670542189155984,75.4471740329303,72.0408197120179
-1,"JoblessBERT",74.1377674936196,0.67089581929578,75.8418428746309,72.4336921126083
-2,"JoblessBERT",74.5744044947331,0.672503706671615,76.282563909679,72.8662450797872
-3,"JoblessBERT",77.0685486843942,0.687301087860657,78.8142934475602,75.3228039212281
-4,"JoblessBERT",77.098273425457,0.686645394761504,78.8423527281512,75.3541941227627
-6,"JoblessBERT",77.5072017948401,0.689630899552109,79.2588642797025,75.7555393099778
-8,"JoblessBERT",77.5099125342167,0.690711422011086,79.2643195461249,75.7555055223086
-9,"JoblessBERT",77.5099125342167,0.690711422011086,79.2643195461249,75.7555055223086
4.35416666666667,"Rule-Based",80.6164928528242,0.689600205694813,82.368077375289,78.8649083303594
4,"Rule-Based",80.6842759622628,0.689939357321111,82.4367219298584,78.9318299946672
2,"Rule-Based",80.7780815318596,0.690848155263076,82.5328358462278,79.0233272174914
0,"Rule-Based",80.7785340645941,0.691809620807411,82.5357305014449,79.0213376277433
-1,"Rule-Based",80.8443133068116,0.691155970595461,82.5998494721241,79.0887771414991
-2,"Rule-Based",80.8572628357656,0.69116206195442,82.6128144731298,79.1017111984014
-3,"Rule-Based",83.2315474919286,0.7079251650767,85.0296774112235,81.4334175726338
-4,"Rule-Based",83.2432677272918,0.707986403554868,85.0415531923211,81.4449822622624
-6,"Rule-Based",83.248787844487,0.707945784148473,85.0469701362241,81.4506055527499
-8,"Rule-Based",83.2518360426951,0.707938121384751,85.0499988710123,81.4536732143778
-9,"Rule-Based",83.2518360426951,0.707938121384751,85.0499988710123,81.4536732143778
